ROLE,NAME,WEEKLY GEXP,PREDICTED GEXP,DAYS IN GUILD,JOIN DATE,UUID,BEDWARS WINS,BW WINS BONUS,KICK PRIORITY,REQUIREMENTS MET
Guild Master,Bluq,315271,315271,2488,08/04/19,eaeac5e8f7a6413caaa37b1f02a817a2,18146,0,,BW

Master,spicily,117820,117820,986,19/05/23,d29932cf0d7b4df0a3a132f1f46eff3f,3877,0,,BW
Master,Tiddles76,95993,95993,409,16/12/24,194016af5611447ea7ca75095d091cef,16738,0,,"AP,BW,SW"
Master,U9C,0,0,1739,26/04/21,d99951fee6d04cd99ce78afe6f6a34f0,9560,0,,BW

Senate,8thirtyto3thirty,455770,455770,39,21/12/25,18f19d781d654583a03dc6cd74eb362f,138,0,,-
Senate,zock_zock,161311,161311,1804,20/02/21,2f50d33ae54a4ca6b47ec93d5150592b,39875,0,,"BW,DU"
Senate,MRSCLAUSPEY,129966,129966,126,25/09/25,c5424f304b7445d0931c1eef8fa64c00,4317,0,,AP
Senate,MRCLAUSLOCAL,103306,103306,888,25/08/23,6836c7549eb44d3ab1b04e2dca7a2a9a,13188,0,,"AP,BW,SW"
Senate,InsanityCPS,81735,81735,415,10/12/24,9c37447979574e44a08f8c494e1560da,397,0,,SB
Senate,BlaBit,81041,81041,193,20/07/25,73f00528b2ea4b93a38f96e7240460b3,2303,0,,BW
Senate,Babyfart4,45262,45262,1174,12/11/22,8e34c9eaf1da499e93832f5d6b6140b1,6907,0,,"BW,SB"
Senate,chewn,18566,18566,285,19/04/25,48b50d1cd6b047519b2c9701373faffb,9955,0,,BW
Senate,Lgx_,5314,5314,735,25/01/24,b5b27708f7c84f539d68226c98dd2da5,12617,0,,"BW,BB"
Senate,LucidBridge,0,0,889,24/08/23,0e45fdca740347afb8c7bdb1019c12b0,0,0,,-


Elder,kermit80,974973,974973,728,01/02/24,963e2c33f2254e9db5f544051ef3d412,17822,0,,BW
Elder,VoidVictim,724776,724776,761,30/12/23,34ff535d8ea446bc92ccce97c0dbdf2d,18,0,,-
Elder,Yumon,611523,611523,25,04/01/26,5567e04703d649b4b35edd2500378cb9,12136,0,,"AP,BW"
Elder,snowykey,561710,561710,371,23/01/25,b183352cc7094369adbf0a9f2438d625,11446,0,,SB
Elder,blowjosh,369094,369094,38,22/12/25,3da84ba3828d4f1e857bd1e3270bc944,12711,0,,BW
Elder,Haudraufienix,340513,340513,1194,23/10/22,b23d9dabc16741079518bb8c0dd190b8,30080,0,,"BW,SB"
Elder,oMqrie,162533,162533,592,16/06/24,6def3350159a40f6a6c2e83d284156d3,9948,0,,"AP,BW,SB"
Elder,Drayyvon,150572,150572,1026,09/04/23,57a887d55da54e1f97e38c68fecd7bf1,11405,0,,"AP,BW,SB"
Elder,qDrax,135139,135139,538,09/08/24,af1f84979ca7404eb7e9f76e3385b601,7214,0,,BW
Elder,Jemarre,126478,126478,1532,19/11/21,f9eaee020e114e96935d92e850959146,11316,0,,BW
Elder,crazyTreeXD,114157,114157,569,09/07/24,a981f3a4737046a89b34bec70799317b,4790,0,,"BW,SB"
Elder,Shiecka,97728,97728,959,15/06/23,94cf058cfde04044ad3c01ac8bdf0b90,8321,0,,BW
Elder,frogInc_,70082,70082,1163,23/11/22,cc07d2e8594b4fc1a90fb215a2b15c55,16079,0,,BW
Elder,R3mu_EST,68629,68629,762,29/12/23,29fed3a9dc9f4344b06752d01ba0c2ab,8348,0,,BW
Elder,Gxringverdiener,38710,38710,1090,04/02/23,dfb9a5bfe9c9402db82fc8aa294320e7,13872,0,,BW
Elder,Firefalc,34582,34582,375,19/01/25,da15c7864dd340c8b17b19fc8e8315f1,11233,0,,BW
Elder,qCorgi,25482,25482,774,17/12/23,db8061e7718147449171bee78a72937e,6275,0,,BW
Elder,REAL_TEst,2645,2645,1475,15/01/22,462943910de94b9eabcbcf3aaad1f1b8,217,0,,-
Elder,undisplayed,0,0,2658,20/10/18,e27c440924a6484aa15d7f28509edf10,2922,0,,-
Elder,Applezzi,0,0,1163,23/11/22,61b6fdedb0124a01986ae8b5267d52a4,1189,0,,-
Elder,DBCD,0,0,726,03/02/24,60fd65c33e10428ca7d2de2b80fa9f03,5149,0,,BW
Elder,Pangeo,0,0,501,15/09/24,d8b120bfb7e8454590718849eef8fc42,2914,0,,"BW,SB"
Elder,Drayyvon_Twitch,0,0,426,29/11/24,61ca0d76c82348d3a20ea11e707eab03,9335,0,,BW

Rookie,JurrienTimber,750769,750769,749,11/01/24,6f3f119c198c4c26b9b9fbd56ad8d5f8,116,0,,-
Rookie,SwimMachine7,323347,565857,4,25/01/26,d8a4fc06ec6c47ef9b84454c88f95c59,4354,0,,BW
Rookie,Sqoz,534213,534213,224,19/06/25,2f16a5af1d324fda88648b7467c018a1,11388,0,,BW
Rookie,Sweatrs,370613,370613,15,14/01/26,6c607aa2e7d94613a72ea172ccc24bbe,5432,0,,-
Rookie,Lama____,346682,346682,29,31/12/25,2820714a4ff74f779b5660bfd6fe7b48,6372,0,,BW
Rookie,TryhardArk,195496,273694,5,24/01/26,6aa399dbed7340e5988823010594af97,1185,0,,-
Rookie,OpsFaiL,252488,252488,81,09/11/25,dce4918432884d3ebaf49e773d46e84f,20548,0,,BW
Rookie,OneBigShot,248979,248979,39,21/12/25,667194bcad984b5d91c8ab825f094d9b,1975,0,,-
Rookie,piedude723,238011,238011,32,28/12/25,6cce41c9b8b6440887d61ac7161ed4ac,3317,0,,BW
Rookie,oBild,233553,233553,115,06/10/25,d72de9b3bb20479cb16d45d766f36c26,7487,0,,BW
Rookie,DaySlayer69,227300,227300,20,09/01/26,76c3bd143873408887eeb42e81ae648e,2907,0,,BW
Rookie,Cvcki,159710,223594,5,24/01/26,3b6782efa6d244b4b8631c52c4c6b32b,4966,0,,BW
Rookie,ZeKingSG,220649,220649,39,21/12/25,f004020897e345ec8b89fa03d2d07022,14057,0,,BW
Rookie,Antcombos,207667,207667,25,04/01/26,a0b2692cc9ce42e28c9f6d82733d8ea6,316,0,,SB
Rookie,senseigod,204662,204662,34,26/12/25,b8f5ead8bae84bafb2fa5a68a6cd07c3,41,0,,UHC
Rookie,GoodLike,200726,200726,35,25/12/25,5add1bdb171f46f28d2da5f6527d3f8c,6547,0,,BW
Rookie,jvqh,200719,200719,30,30/12/25,ac7b0c4aaf044c2eac7429692eb00ac0,3049,0,,BW
Rookie,IindiI,200643,200643,32,28/12/25,bfb8a4ca442b428da03076e21731961b,8045,0,,BW
Rookie,palunti,192153,192153,37,23/12/25,c5d0b870dd76437aa9424efdc2094046,4026,0,,BW
Rookie,toefubean,191562,191562,36,24/12/25,1a94e3056edd4a5e99096b503fdd5c89,4875,0,,BW
Rookie,Icy1iYouseF,188556,188556,35,25/12/25,29c67476afe24b8683204960873ad987,2240,0,,SB
Rookie,Zkeskin,53628,187698,2,27/01/26,83f0a565abd749ab9608bccfe4d91b2e,1,0,,SB
Rookie,paeso,181150,181150,203,10/07/25,f57769791b534598ae4a631e5e033c10,6983,0,,BW
Rookie,ukkq,173457,173457,117,04/10/25,1a6b02e7234f430a962e88a2699c5344,3714,0,,"BW,SB"
Rookie,18O3,165491,165491,35,25/12/25,771c189579bc4e1e8da7a6182cb0c318,2694,0,,"BW,SW"
Rookie,ojyst,162838,162838,37,23/12/25,d88a553d263841909ed1f6b5011334b6,2647,0,,BW
Rookie,Prisonedcargo,87871,153774,4,25/01/26,523b48f89f6440cc8e5edd4c9005d2b9,2052,0,,-
Rookie,HuggableTrout_99,149514,149514,10,19/01/26,7ce8c1a687e945e38c6d8630aacf9c0a,309,0,,-
Rookie,qBubble,144583,144583,27,02/01/26,58cc9b2d5638448f95d46a6d8aa5be82,6139,0,,BW
Rookie,Poured,139428,139428,8,21/01/26,c00361e1d6ec4977829eb8b29b401b76,125,0,,-
Rookie,mexiaa,134429,134429,131,20/09/25,e3f8c084aab8441cad1a6428b04fbdc8,7469,0,,BW
Rookie,cushioned,131775,131775,32,28/12/25,28489ec2bef24bb6b0638db0dc1f9d84,666,0,,"AP,SB"
Rookie,qZock,126138,126138,185,28/07/25,a6d8211734f745ff8cbaa1675325fc2a,4724,0,,SB
Rookie,PLASHER,122029,122029,39,21/12/25,8a85159c4a664954ae870edecd9a07d4,7243,0,,BW
Rookie,oRabbits,121156,121156,126,25/09/25,fe4eb0d6c8da45f487f67e155051fd76,3223,0,,SB
Rookie,bjeli,112413,112413,9,20/01/26,c6f70cb12a9d4444a310a8bf3b510fe3,288,0,,-
Rookie,Eulaw,105088,105088,29,31/12/25,ada9088ff4874b80b0b4b3ec1441a52f,6628,0,,BW
Rookie,QEIU,104764,104764,21,08/01/26,1378289194894205946fe3171169a107,6895,0,,"BW,SB"
Rookie,Sanderssen,103901,103901,28,01/01/26,2bf602366910437db4347a2ea639084b,634,0,,-
Rookie,fallbirds,103035,103035,66,24/11/25,83cfdecfe95347268f8d24f72e4887fb,9225,0,,-
Rookie,Lokky,102522,102522,28,01/01/26,66377dd19c7e422c8bac18a331f41890,5335,0,,BW
Rookie,KikoChento,102411,102411,22,07/01/26,20deda2a678d4ef8831a3f103b818129,39,0,,SB
Rookie,Terrenc,96311,96311,38,22/12/25,de4b3a24012b4b85a8c0ef720464c149,2165,0,,BW
Rookie,Cimpiu,94043,94043,177,05/08/25,5d391c95fa6a4f80a5b5f1f657b5098a,3325,0,,BW
Rookie,BobStevee,91576,91576,25,04/01/26,3d70edfbc66a414ba288a4ffadb3d7c2,3177,0,,BW
Rookie,p1gui,77765,77765,54,06/12/25,576a41dea4544bc39163bbc2260dc2bf,3673,0,,BW
Rookie,Meliiah,73507,73507,182,31/07/25,0af9bd49133241d8bc9ee8ab71a4c78b,5819,0,,BW
Rookie,CallMeHowYouLike,71725,71725,26,03/01/26,f90baaa86abd45a8b2824a085690d854,3734,0,,BW
Rookie,727w,71095,71095,22,07/01/26,0af29a9f427245b793a5246a5f6def70,10715,0,,"BW,SB"
Rookie,kryed,63766,63766,52,08/12/25,2d06dbd3ef45463c8fe72c3d4643a94d,3771,0,,BW
Rookie,Kake158,60898,60898,23,06/01/26,d1e6daaf597341f9a4f31f360407ff0a,2747,0,,BW
Rookie,CoinMarket,60074,60074,21,08/01/26,2b836b59275a44f599bc1b7a4863da86,2264,0,,"BW,UHC"
Rookie,cularis,57885,57885,36,24/12/25,fb581cae3e9740bfbc8d2d8c4c5812a2,4067,0,,BW
Rookie,Mastho2010,41231,57723,5,24/01/26,abb7474afc0b49e9bb954c28cd0741bd,293,0,,SB
Rookie,Jameys,55583,55583,20,09/01/26,b9b54ea5e0b64d3280bd644cdf30663e,4057,0,,BW
Rookie,xKillpro45,51367,51367,110,11/10/25,bba3f71f1269450a9796cc4962a35d54,6609,0,,BW
Rookie,DewierPvP,40144,40144,26,03/01/26,56d435e074bf4489a0034bf5c2f3567f,1596,0,,-
Rookie,RubberDuckyFarts,36102,36102,12,17/01/26,6819061718b64747bb0c99b6692a6af0,2968,0,,BW
Rookie,Qt_Man,8870,31045,2,27/01/26,03bca1bb649744e399b5f9c6164a3cec,2257,0,,BW
Rookie,500bens,29343,29343,24,05/01/26,8c56a531fd5740cea67644cad6956db2,30,0,,-
Rookie,noolim,24825,24825,251,23/05/25,6f52845408424e76b768939c8f1122e1,3340,0,,BW
Rookie,Shadvw,21976,21976,36,24/12/25,f9c6e916e2314cb2a852938dd6fa9b6a,5955,0,,BW
Rookie,v7rc,21266,21266,33,27/12/25,4401077dde7e43e1aa310de5a9a5e5a2,7811,0,,BW
Rookie,duvsi,21196,21196,55,05/12/25,f6d7706d8d2b40ddba3f6a0190234e49,3156,0,,-
Rookie,ChilWarrior,13808,13808,47,13/12/25,019c5f8237cf4f40bc4f6612e1ed9d71,2797,0,,"BW,SW"
Rookie,Rambo9D,12459,12459,10,19/01/26,12f9602c071b4268af194620b961e547,2508,0,,BW
Rookie,oAqua_,6441,11271,4,25/01/26,0a436c9442bd4d5b9b922ec15bc0e283,4324,0,,SB
Rookie,saruh,5123,5123,35,25/12/25,2f24d5a65e2e45adad027e3c5767f78a,1689,0,,"LB,DS"
Rookie,hhops,4547,4547,14,15/01/26,7353fa848a3e4ee384581dd6727bc92d,421,0,,SW
Rookie,MysticOF,2974,2974,24,05/01/26,2a79546091884c76aa3a0d7c127f7a31,6094,0,,BW
Rookie,zeneox,1396,1396,30,30/12/25,77b215b7286f4ada8fcc69ab0a03a534,3166,0,,BW
Rookie,snowangel7,1092,1092,29,31/12/25,e51e2820b3f049818be3183a696bc1b1,959,0,,SB
Rookie,Jlits,28,196,1,28/01/26,2e1f1bc06c364368bb7ca34d9ee90160,14340,0,,BW
Rookie,1wet,0,0,51,09/12/25,60531c1dfe5b4b88b14e09ec546e5e47,3237,0,,BW
Rookie,Yeetanimus,0,0,28,01/01/26,cf4f4a41ec0c44d3832fef05da82165b,3598,0,,BW
Rookie,REVOLVINGDOOR,0,0,27,02/01/26,14c40cc680984e62bbbc4fa5c375f52b,91,0,,-
Rookie,zedrico,0,0,14,15/01/26,d1f7f38dfff948f7bf783c3085258f59,12590,0,,"BW,SW"
Rookie,Oxaw,0,0,2,27/01/26,a36ad69c7af4455c87304e7c4eb207a5,7088,0,,BW


Legion,v1rq,453321,453321,22,07/01/26,bafd6943c6a84e448eee365587cbfbfb,18658,0,,BW
Legion,ItsGY,432538,432538,32,28/12/25,a46f586d62fd48d58ba27d3a989f5a38,971,0,,SB
Legion,Clapey,393356,393356,36,24/12/25,f344f154e2b149bfa8a0fd9615b2608c,18214,0,,BW
Legion,Czoko_o,380390,380390,12,17/01/26,630dd6d0460a4baeb177d48c10a93641,3938,0,,BW
Legion,oTeda,276673,276673,177,05/08/25,5969b18f4a4840b6b85404baf98f31d7,24442,0,,BW
Legion,Spamq,178811,178811,351,12/02/25,9e3b0cda425744cdadf433743405b413,3319,0,,SB
Legion,MinisterRels,7597,7597,30,30/12/25,b41192d09a3a4ced936549d783629e6f,10,0,,SB
Legion,Clxwnh,3895,3895,31,29/12/25,d0a32878e16d4d999c960db22773a49d,3314,0,,"BW,SB"
